[1409] \Global\Bouncer\Behaviour\Idle\Hangout
[55] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\VehicleBehaviour\TargetOnFoot\Passenger\PartnerDriving
[57] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\VehicleBehaviour\TargetOnFoot\Passenger\VehicleStopped
[56] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\VehicleBehaviour\TargetOnFoot\Passenger\WaitInVehicle
[139] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\Weapons\EquipBehaviour\DrawWeapon
[131] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\Weapons\PickupGun\MoveToPickup
[132] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\Weapons\PickupGun\MoveToPickup\PickupItem
[137] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\Weapons\PickupMelee\Brawler\MoveToPickup
[138] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\Weapons\PickupMelee\Brawler\MoveToPickup\PickupItem
[133] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\Weapons\PickupMelee\Grappler\MoveToPickup
[134] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\Weapons\PickupMelee\Grappler\MoveToPickup\PickupItem
[135] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\Weapons\PickupMelee\QuickStriker\MoveToPickup
[136] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\Weapons\PickupMelee\QuickStriker\MoveToPickup\PickupItem
[1025] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\CombatStance\DLC_Ghost\EliteGhoul
[1026] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\CombatStance\Default
[1023] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\CombatStance\Defending\BlockAfterCombo
[1022] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\CombatStance\Defending\Brawler
[1021] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\CombatStance\Defending\CounterReady
[1024] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\CombatStance\Defending\RecentlyAttacked
[1017] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\CoverSearch\Aggressive
[1019] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\CoverSearch\Balanced
[1014] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\CoverSearch\CombatRegion\Aggressive
[1016] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\CoverSearch\CombatRegion\Balanced
[1015] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\CoverSearch\CombatRegion\Defensive
[1018] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\CoverSearch\Defensive
[1011] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\0xDD162514\0x5A93193E
[1012] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\0xDD162514\0x5A93193E\GrappleBreak
[993] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\AutoBlock\BlockAttacks
[996] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\AutoBlock\BlockAttacks\5HitCounter
[997] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\AutoBlock\BlockAttacks\CommitAttack
[994] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\AutoBlock\BlockAttacks\CounterAttack
[995] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\AutoBlock\BlockAttacks\Interrupt
[998] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\AutoBlock\Defenseless
[987] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Countered
[988] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Countered\EnemyType\Elite_Recovered
[989] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Countered\EnemyType\Recovered
[978] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Downed
[984] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\GrappleStrike
[985] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\GrappleStrike\EnemyType\Elite_Recovered
[986] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\GrappleStrike\EnemyType\Recovered
[982] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Stunned\Default
[983] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Stunned\Default\Recover
[979] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Stunned\Jiangshi
[981] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Stunned\Jiangshi\Recover\0x55BE05A8
[980] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Disabled\Stunned\Jiangshi\Recover\delayed
[992] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Dodge\Defenseless
[990] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Dodge\DodgeAttacks
[991] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Dodge\DodgeAttacks\CounterAttack
[999] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\DLC_Ghost\0x32103B5D
[1001] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\DLC_Ghost\Jiangshi\0x8BF68186\0x8BF68186
[1000] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\DLC_Ghost\Jiangshi\0x8BF68186\GrappleBreak
[1002] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\DLC_Ghost\Jiangshi\0xDDC70216
[1010] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Defenseless
[1003] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\0x3B383EF4
[1004] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\GrappleBreak
[1006] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\Queries\0x15F37294
[1007] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\Queries\0x42D4BF8E
[1009] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\Queries\0x934264D2
[1008] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\Queries\0xE7885106
[1005] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Grapple\Success\Wait
[1013] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Defense\Wait
[17] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat
[21] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat\ActionRequest\CombatEntry
[22] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat\ActionRequest\CombatEntry\Dialogue
[23] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat\ActionRequest\Done
[18] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat\ActionRequest\DrawPistol
[19] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat\ActionRequest\DrawPistol\Dialogue
[20] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\EnterCombat\ActionRequest\SkipCombatEntry
[1027] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\FullNelsonAnimationLoader
[1020] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\GunFightStimulus
[15] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\LostTarget
[1134] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\MoveToCombatRegion
[1137] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\MoveToCombatRegion\FindNewCoverSpawn\CoverSearch
[1135] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\MoveToCombatRegion\FindNewCoverSpawn\InitialWait
[1136] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\MoveToCombatRegion\FindNewCoverSpawn\Wait
[14] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\NISCurtainsActive
[1138] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\WaitForRandomStartTime
[1141] \Global\Bouncer\Behaviour\Objectives\FaceTarget\FaceTarget
[13] \Global\Bouncer\Behaviour\Objectives\Flee\Flee
[1203] \Global\Bouncer\Behaviour\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle
[1212] \Global\Bouncer\Behaviour\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\SetupTarget\FindVehicleAndSeat
[1205] \Global\Bouncer\Behaviour\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour
[1211] \Global\Bouncer\Behaviour\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\CloseEnough
[1209] \Global\Bouncer\Behaviour\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Jog
[1208] \Global\Bouncer\Behaviour\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Run
[1210] \Global\Bouncer\Behaviour\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Walk
[1206] \Global\Bouncer\Behaviour\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour\Request\EnterVehicle\EnterBike
[1207] \Global\Bouncer\Behaviour\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour\Request\EnterVehicle\EnterVehicle
[1204] \Global\Bouncer\Behaviour\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Wait
[1213] \Global\Bouncer\Behaviour\Objectives\Follow\MeAndTargetOnFoot\Follow
[1200] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\Dummy
[1165] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp
[1192] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic
[1193] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[1195] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[1196] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[1194] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[1189] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun
[1190] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[1191] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[1183] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher
[1184] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[1185] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[1197] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol
[1198] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol
[1199] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[1186] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun
[1187] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun
[1188] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[1175] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic
[1176] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[1178] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[1179] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[1177] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[1172] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun
[1173] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[1174] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[1166] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher
[1167] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[1168] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[1180] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol
[1181] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol
[1182] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[1169] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun
[1170] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun
[1171] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[1202] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\Util\AttackRightsSpawn\AlwaysMiss
[1201] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\Util\AttackRightsSpawn\AttackRightsAcquired
[1145] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetInVehicle\Driver\Others\ChaseTarget
[1144] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetInVehicle\Driver\Others\WaitInsideVehicle
[1142] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetInVehicle\Passenger\Others\Attack
[1143] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetInVehicle\Passenger\Others\Idle
[1154] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\DriveNear
[1155] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\DriveNear\WaitBriefly
[1156] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped
[1157] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitBike
[1158] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle
[1162] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\EndExit
[1161] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\TakeCoverOnDoor\FoundCover
[1159] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\TakeCoverOnDoor\SearchForCover
[1160] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\TakeCoverOnDoor\SearchForCover\CoverSearch
[1163] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\InvalidVehicle
[1164] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\Wait
[1149] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\InWater\DriveNear
[1148] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\InWater\DriverAttack
[1146] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\InWater\Passenger\Attack
[1147] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\InWater\Passenger\Idle
[1150] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\Passenger\DeadOrNoDriver
[1151] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\Passenger\PartnerDriving
[1153] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\Passenger\VehicleStopped
[1152] \Global\Bouncer\Behaviour\Objectives\Follow\VehicleBehaviour\TargetOnFoot\Passenger\WaitInVehicle
[1140] \Global\Bouncer\Behaviour\Objectives\PatDown\MoveIn
[1139] \Global\Bouncer\Behaviour\Objectives\PatDown\PatDown
[1408] \Global\Bouncer\Behaviour\OnFoot\Ambient\Stimuli\AttackNoHit\Warn
[1407] \Global\Bouncer\Behaviour\OnFoot\ApproachAndUsePOI\POI
[1215] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\CarHitMe\SetCombat
[1216] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\DangerousVehicleNear\VehicleOnSidewalk
[1218] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\DangerousVehicleNear\VehicleOnSidewalk\Behaviour\Dialogue\LookOutCar
[1217] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\DangerousVehicleNear\VehicleOnSidewalk\Behaviour\DiveAway
[1228] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\ExplosionReaction\CrouchCower
[1229] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\ExplosionReaction\CrouchCower\Dialogue\Dialogue1
[1223] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\IveBeenShotNearby\CrouchCower
[1224] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\IveBeenShotNearby\CrouchCower\Dialogue\Dialogue1
[1219] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\IveBeenShot\CrouchCower
[1220] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\IveBeenShot\CrouchCower\Dialogue\Dialogue1
[1225] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\WeaponFiredNearYou\Flinch
[1226] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\WeaponFiredNearYou\Flinch\Transition\CrouchCower
[1227] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\WeaponFiredNearYou\Flinch\Transition\CrouchCower\Dialogue\Dialogue1
[1221] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\WeaponFired\CrouchCower
[1222] \Global\Bouncer\Behaviour\OnFoot\CriticalPriority\Stimuli\WeaponFired\CrouchCower\Dialogue\Dialogue1
[1233] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\Attacked\MasterSpawn
[1235] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\Attacked\MasterSpawn\Behaviour\1stHit\defaultTellOff
[1236] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\Attacked\MasterSpawn\Behaviour\1stHit\defaultTellOff\Dialogue\Dialogue1
[1234] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\Attacked\MasterSpawn\Behaviour\SecondHit\SetCombat
[1243] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\CarFire\Aware
[1244] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\CarHitBuilding\Close\Flinch
[1245] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\CarHitBuilding\Close\MasterSpawn
[1247] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\CarHitBuilding\Close\MasterSpawn\Behaviour\Aware
[1246] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\CarHitBuilding\Close\MasterSpawn\Behaviour\TellOff
[1248] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\CarHitBuilding\Close\MasterSpawn\Dialogue\BadDriver
[1249] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\CarHitCar\Close\Flinch
[1250] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\CarHitCar\Close\MasterSpawn
[1252] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\CarHitCar\Close\MasterSpawn\Behaviour\Aware
[1251] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\CarHitCar\Close\MasterSpawn\Behaviour\TellOff
[1253] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\CarHitCar\Close\MasterSpawn\Dialogue\BadDriver
[1254] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\DrawnWeapon\MasterSpawn
[1256] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\DrawnWeapon\MasterSpawn\Behaviour\Aware
[1255] \Global\Bouncer\Behaviour\OnFoot\HighPriority\Stimuli\DrawnWeapon\MasterSpawn\Behaviour\Warn
