[6195] \Global\Thug\MasterSpawn
[8237] \Global\Thug\MasterSpawn\Actions\Objectives\CombatDummy\CombatSpawn\DefenseLite\Wait
[8244] \Global\Thug\MasterSpawn\Actions\Objectives\CombatDummy\CombatSpawn\FormationManagerHACK
[6388] \Global\Thug\MasterSpawn\Actions\Objectives\FaceTarget\FaceTarget
[6398] \Global\Thug\MasterSpawn\Actions\Objectives\FaceTarget\FaceTarget\Idle
[6395] \Global\Thug\MasterSpawn\Actions\Objectives\FaceTarget\FaceTarget\TutorialReactions\Cheer\Reaction
[6396] \Global\Thug\MasterSpawn\Actions\Objectives\FaceTarget\FaceTarget\TutorialReactions\Cheer\Reaction\Facing
[6391] \Global\Thug\MasterSpawn\Actions\Objectives\FaceTarget\FaceTarget\TutorialReactions\Disgust\Reaction
[6392] \Global\Thug\MasterSpawn\Actions\Objectives\FaceTarget\FaceTarget\TutorialReactions\Disgust\Reaction\Facing\Facing_01
[6393] \Global\Thug\MasterSpawn\Actions\Objectives\FaceTarget\FaceTarget\TutorialReactions\Disgust\Reaction\Facing\Facing_02
[6394] \Global\Thug\MasterSpawn\Actions\Objectives\FaceTarget\FaceTarget\TutorialReactions\Disgust\Reaction\Facing\Facing_03
[6397] \Global\Thug\MasterSpawn\Actions\Objectives\FaceTarget\FaceTarget\TutorialReactions\Idle
[6389] \Global\Thug\MasterSpawn\Actions\Objectives\FaceTarget\FaceTarget\TutorialReactions\Laugh\Reaction
[6390] \Global\Thug\MasterSpawn\Actions\Objectives\FaceTarget\FaceTarget\TutorialReactions\Laugh\Reaction\Facing
[6314] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\CannotFindVehicle\Flee
[6304] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\FindVehicle\FindNearbyVehicle
[6313] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\FindVehicle\FindNearbyVehicle\SetupTarget\FindVehicleAndSeat
[6306] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\FindVehicle\FindNearbyVehicle\Spawn\Behaviour
[6307] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\Align
[6311] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Jog
[6310] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Run
[6312] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Walk
[6308] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\Request\EnterVehicle\EnterBike
[6309] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\Request\EnterVehicle\EnterVehicle
[6305] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\FindVehicle\FindNearbyVehicle\Spawn\Wait
[6300] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\Driver
[6288] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\NotRiding
[6289] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\Passenger
[6290] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\Passenger\DeadOrNoDriver
[6291] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\Passenger\ExitVehicle\VehicleStopped
[6292] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\Passenger\ExitVehicle\VehicleStopped\ExitVehicle\ExitBike
[6293] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\Passenger\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle
[6297] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\Passenger\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\EndExit
[6296] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\Passenger\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\TakeCoverOnDoor\FoundCover
[6294] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\Passenger\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\TakeCoverOnDoor\SearchForCover
[6295] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\Passenger\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\TakeCoverOnDoor\SearchForCover\CoverSearch
[6298] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\Passenger\ExitVehicle\VehicleStopped\ExitVehicle\InvalidVehicle
[6299] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\InVehicle\Passenger\ExitVehicle\Wait
[6301] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\OnFoot\Flee
[6303] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\OnFoot\Flee\GotoVehicle
[6302] \Global\Thug\MasterSpawn\Actions\Objectives\Flee\OnFoot\Flee\SearchVehicle
[6377] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle
[6386] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\SetupTarget\FindVehicleAndSeat
[6379] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour
[6385] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\CloseEnough
[6383] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Jog
[6382] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Run
[6384] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Walk
[6380] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour\Request\EnterVehicle\EnterBike
[6381] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Behaviour\Request\EnterVehicle\EnterVehicle
[6378] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\ChaseInVehicle\FindNearbyVehicle\Spawn\Wait
[6387] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\MeAndTargetOnFoot\Follow
[6374] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\Dummy
[6339] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp
[6366] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic
[6367] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[6369] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[6370] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[6368] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[6363] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun
[6364] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[6365] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[6357] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher
[6358] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[6359] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[6371] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol
[6372] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol
[6373] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[6360] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun
[6361] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun
[6362] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[6349] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic
[6350] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[6352] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[6353] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[6351] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[6346] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun
[6347] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[6348] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[6340] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher
[6341] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[6342] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[6354] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol
[6355] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol
[6356] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[6343] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun
[6344] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun
[6345] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[6376] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\Util\AttackRightsSpawn\AlwaysMiss
[6375] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\Util\AttackRightsSpawn\AttackRightsAcquired
[6319] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetInVehicle\Driver\Others\ChaseTarget
[6318] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetInVehicle\Driver\Others\WaitInsideVehicle
[6316] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetInVehicle\Passenger\Others\Attack
[6317] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetInVehicle\Passenger\Others\Idle
[6328] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\DriveNear
[6329] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\DriveNear\WaitBriefly
[6330] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped
[6331] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitBike
[6332] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle
[6336] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\EndExit
[6335] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\TakeCoverOnDoor\FoundCover
[6333] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\TakeCoverOnDoor\SearchForCover
[6334] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\TakeCoverOnDoor\SearchForCover\CoverSearch
[6337] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\InvalidVehicle
[6338] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\Wait
[6323] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\InWater\DriveNear
[6322] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\InWater\DriverAttack
[6320] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\InWater\Passenger\Attack
[6321] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\InWater\Passenger\Idle
[6324] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\Passenger\DeadOrNoDriver
[6325] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\Passenger\PartnerDriving
[6327] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\Passenger\VehicleStopped
[6326] \Global\Thug\MasterSpawn\Actions\Objectives\Follow\VehicleBehaviour\TargetOnFoot\Passenger\WaitInVehicle
[6262] \Global\Thug\MasterSpawn\Actions\Objectives\GrabAndHold\GrabAndHold\GrabAndHold
[6263] \Global\Thug\MasterSpawn\Actions\Objectives\GrabAndHold\GrabAndHold\GrabAndHold\Timeout
[6264] \Global\Thug\MasterSpawn\Actions\Objectives\GrabAndHold\GrabAndHold\InvalidTarget
[6265] \Global\Thug\MasterSpawn\Actions\Objectives\GrabAndHold\MoveIn
[6261] \Global\Thug\MasterSpawn\Actions\Objectives\GrabAndHold\NoTarget
[8253] \Global\Thug\MasterSpawn\Actions\Objectives\Idle\Idle
[8249] \Global\Thug\MasterSpawn\Actions\Objectives\PatDown\MoveIn
[8248] \Global\Thug\MasterSpawn\Actions\Objectives\PatDown\PatDown
[6257] \Global\Thug\MasterSpawn\Actions\Objectives\PathfindToWeapon\0x402BCE9A
[6260] \Global\Thug\MasterSpawn\Actions\Objectives\PathfindToWeapon\InvalidTarget
[6258] \Global\Thug\MasterSpawn\Actions\Objectives\PathfindToWeapon\MoveIn\MoveIn
[6259] \Global\Thug\MasterSpawn\Actions\Objectives\PathfindToWeapon\PickupWeapon
[8252] \Global\Thug\MasterSpawn\Actions\Objectives\RobTargetObjective\Error
[8251] \Global\Thug\MasterSpawn\Actions\Objectives\RobTargetObjective\MoveIn
[8250] \Global\Thug\MasterSpawn\Actions\Objectives\RobTargetObjective\Rob
[8254] \Global\Thug\MasterSpawn\Actions\Objectives\RunAway\Master
[8260] \Global\Thug\MasterSpawn\Actions\Objectives\RunAway\Master\Dialogue
[8257] \Global\Thug\MasterSpawn\Actions\Objectives\RunAway\Master\Flee\Cautious
[8258] \Global\Thug\MasterSpawn\Actions\Objectives\RunAway\Master\Flee\Cautious\Giveup
[8259] \Global\Thug\MasterSpawn\Actions\Objectives\RunAway\Master\Stimulus
[8255] \Global\Thug\MasterSpawn\Actions\Objectives\RunAway\Master\TooFarCheck
[8256] \Global\Thug\MasterSpawn\Actions\Objectives\RunAway\Master\TooFarCheck\Giveup
[8216] \Global\Thug\MasterSpawn\Actions\Objectives\ShootAtMarker\MasterSpawn
[8245] \Global\Thug\MasterSpawn\Actions\Objectives\SuckerPunch\Error
[8247] \Global\Thug\MasterSpawn\Actions\Objectives\SuckerPunch\MoveIn
[8246] \Global\Thug\MasterSpawn\Actions\Objectives\SuckerPunch\Punch
[6213] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands
[6248] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\0xDD162514\0x5A93193E
[6249] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\0xDD162514\0x5A93193E\GrappleBreak
[6230] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\AutoBlock\BlockAttacks
[6233] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\AutoBlock\BlockAttacks\5HitCounter
[6234] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\AutoBlock\BlockAttacks\CommitAttack
[6231] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\AutoBlock\BlockAttacks\CounterAttack
[6232] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\AutoBlock\BlockAttacks\Interrupt
[6235] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\AutoBlock\Defenseless
[6224] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Countered
[6225] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Countered\EnemyType\Elite_Recovered
[6226] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Countered\EnemyType\Recovered
[6215] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Downed
[6221] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\GrappleStrike
[6222] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\GrappleStrike\EnemyType\Elite_Recovered
[6223] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\GrappleStrike\EnemyType\Recovered
[6219] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Stunned\Default
[6220] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Stunned\Default\Recover
[6216] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Stunned\Jiangshi
[6218] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Stunned\Jiangshi\Recover\0x55BE05A8
[6217] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Stunned\Jiangshi\Recover\delayed
[6229] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Dodge\Defenseless
[6227] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Dodge\DodgeAttacks
[6228] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Dodge\DodgeAttacks\CounterAttack
[6236] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\DLC_Ghost\0x32103B5D
[6238] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\DLC_Ghost\Jiangshi\0x8BF68186\0x8BF68186
[6237] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\DLC_Ghost\Jiangshi\0x8BF68186\GrappleBreak
[6239] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\DLC_Ghost\Jiangshi\0xDDC70216
[6247] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Defenseless
[6240] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\0x3B383EF4
[6241] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\GrappleBreak
[6243] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\Queries\0x15F37294
[6244] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\Queries\0x42D4BF8E
[6246] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\Queries\0x934264D2
[6245] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\Queries\0xE7885106
[6242] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\Wait
[6250] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\Defense\Wait
[6251] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\DynamicWallHandle\CastingHandles
[6252] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\DynamicWallHandle\CastingHandles\CastSpawn
[6253] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\DynamicWallHandle\Idle
[6214] \Global\Thug\MasterSpawn\Actions\PerformScriptCommands\PerformScriptCommands\ExecuteScriptCommands
[8346] \Global\Thug\MasterSpawn\Actions\PoliceChaseReaction\CowerIndefinite
[8347] \Global\Thug\MasterSpawn\Actions\PoliceChaseReaction\CowerThenFlee
[8348] \Global\Thug\MasterSpawn\Actions\PoliceChaseReaction\CowerThenFlee\Flee
[8301] \Global\Thug\MasterSpawn\Actions\ReactToCarHit\SetDefend
[8302] \Global\Thug\MasterSpawn\Actions\ReactToCarHit\SetDefend\Dialogue\Dialogue1
[8303] \Global\Thug\MasterSpawn\Actions\ReactToCarJack\SetDefend
[8304] \Global\Thug\MasterSpawn\Actions\ReactToCarJack\SetDefend\Dialogue\Dialogue1
[8299] \Global\Thug\MasterSpawn\Actions\ReactToMeleeHit\SetDefend
[8300] \Global\Thug\MasterSpawn\Actions\ReactToMeleeHit\SetDefend\Dialogue\Dialogue1
[6212] \Global\Thug\MasterSpawn\Actions\ScriptObjectives\ForceEnterCover\Exit
[6209] \Global\Thug\MasterSpawn\Actions\ScriptObjectives\ForceEnterCover\ForceEnterCover
[6210] \Global\Thug\MasterSpawn\Actions\ScriptObjectives\ForceEnterCover\ForceEnterCover\CoverSearch\RepeatedSearch
[6211] \Global\Thug\MasterSpawn\Actions\ScriptObjectives\ForceEnterCover\InCover
[6200] \Global\Thug\MasterSpawn\Actions\ScriptObjectives\GetInVehicle\GetInVehicle
